,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Datetime_unix,Gyroscope X,Gyroscope Y,Gyroscope Z,Heading,Mag X,Mag Y,Mag Z,Pitch,Roll
0,-1.7116394,8.791626,3.6118622,2017-06-03 16:10:00.024000,1496517000024,0.009262085,0.0014648438,-0.0035552979,-11.1375455237,-12.612724,15.99884,-4.190445,3.0799259541,25.5129395068
1,-1.7007751,8.807861,3.543167,2017-06-03 16:10:00.075000,1496517000075,0.0060577393,0.008926392,0.0049591064,-12.5821120876,-12.697601,16.086197,-3.5835266,4.25763313083,28.2649044853
2,-1.7420044,8.777924,3.5760345,2017-06-03 16:10:00.127000,1496517000127,7.324219E-4,0.0014648438,0.007095337,-13.8524148824,-12.867355,16.26072,-3.1499863,5.49300313629,30.7696764993
3,-1.7201843,8.755997,3.5841675,2017-06-03 16:10:00.179000,1496517000179,0.0039367676,0.008926392,0.00390625,-15.017064121,-12.867546,16.347885,-3.2369614,6.70949603987,33.105426766
4,-1.7036896,8.791321,3.5624847,2017-06-03 16:10:00.230000,1496517000230,0.013519287,-0.001739502,-0.004623413,-16.1799173746,-12.782669,16.522408,-3.2369614,8.02232679631,35.5182547529
5,-1.7443848,8.82518,3.5958862,2017-06-03 16:10:00.282000,1496517000282,0.00819397,-0.0038604736,-0.0035552979,-18.7940836919,-12.867928,16.347885,-3.583908,11.272255135,41.1020567948
6,-1.7028046,8.735519,3.5801392,2017-06-03 16:10:00.333000,1496517000333,0.0018005371,0.002532959,-0.0035552979,-18.7940836919,-12.528038,16.260529,-3.4971237,11.272255135,41.1020567948
7,-1.7249451,8.78746,3.5623322,2017-06-03 16:10:00.385000,1496517000385,0.014587402,-0.001739502,0.0007019043,-19.2854159984,-11.933517,15.99865,-3.930664,11.8924547854,42.1664181012
8,-1.6974182,8.778748,3.5365906,2017-06-03 16:10:00.437000,1496517000437,0.0039367676,3.9672852E-4,-0.00036621094,-21.1545792447,-12.018394,15.823936,-3.8438797,14.4753922379,46.4474945759
9,-1.7036896,8.81871,3.5660858,2017-06-03 16:10:00.489000,1496517000489,0.0103302,-0.004928589,-0.0035552979,-21.295538462,-12.443161,15.911293,-4.104042,14.6703233356,46.7685332361
10,-1.6977234,8.816757,3.498291,2017-06-03 16:10:00.540000,1496517000540,-0.0035247803,0.002532959,-0.0078125,-23.2525966292,-12.528038,16.260529,-3.930664,17.7723768424,51.7505357868
11,-1.7036896,8.795654,3.5472107,2017-06-03 16:10:00.592000,1496517000592,0.0028686523,0.0046539307,0.0049591064,-23.2525966292,-12.527847,16.347885,-3.9304733,17.7723768424,51.7505357868
12,-1.7210693,8.810791,3.5048676,2017-06-03 16:10:00.643000,1496517000643,-3.3569336E-4,0.018508911,0.0049591064,-23.4627894053,-12.1881485,16.173363,-3.7570953,18.1139207174,52.3193846176
13,-1.7117767,8.839813,3.4944,2017-06-03 16:10:00.695000,1496517000695,-0.014175415,0.011047363,-0.0014190674,-24.9878692105,-12.358284,15.99865,-3.843689,20.7328093335,56.5988476094
