,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Datetime_unix,Gyroscope X,Gyroscope Y,Gyroscope Z,Heading,Mag X,Mag Y,Mag Z,Pitch,Roll
0,-1.0315399,9.50032,-0.00112915,20:53.3,1.49652E+12,0.030899048,0.009246826,0.004104614,-18.82267003,-14.713287,11.705589,-10.5026245,-7.945392602,52.22562552
1,-0.9966583,9.53862,0.001403809,20:53.3,1.49652E+12,0.027694702,0.010314941,0.000900269,-20.75834214,-14.9683,11.705589,-10.676193,-7.052003416,54.46958539
2,-1.0141602,9.51947,-0.07937622,20:53.4,1.49652E+12,0.027694702,0.007110596,-0.003356934,-22.73084425,-14.798355,11.880112,-10.936546,-6.045258393,56.70501427
3,-1.052475,9.555374,-0.0960083,20:53.4,1.49652E+12,0.027694702,0.002853394,0.001968384,-24.66600848,-14.798355,11.792755,-11.023521,-4.968254895,58.83944095
4,-1.0240479,9.490433,-0.086120605,20:53.5,1.49652E+12,0.027694702,0.010314941,-0.001220703,-26.65334736,-15.138245,12.316513,-11.196899,-3.739179027,60.98439788
5,-1.0150604,9.53772,-0.11517334,20:53.5,1.49652E+12,0.034088135,0.008178711,0.005157471,-28.57695659,-15.308189,12.316513,-10.936737,-2.440031386,63.02894587
6,-0.99635315,9.547516,-0.11381531,20:53.6,1.49652E+12,0.029830933,0.011367798,-0.002288818,-30.36131268,-15.478134,12.316513,-11.110115,-1.18665438,64.86885822
7,-1.0324402,9.51947,-0.09555054,20:53.6,1.49652E+12,0.009597778,0.013504028,-0.006561279,-32.13466077,-15.138245,12.141991,-10.936546,0.144162613,66.64338122
8,-1.0055542,9.50032,-0.11517334,20:53.7,1.49652E+12,0.012786865,0.013504028,-0.003356934,-36.01356012,-15.138245,12.141991,-10.936356,3.277109587,70.43789781
9,-0.99472046,9.519165,-0.11517334,20:53.7,1.49652E+12,0.017044067,-0.001403809,-0.005493164,-36.01356012,-14.9683,12.316513,-10.762978,3.277109587,70.43789781
10,-0.96240234,9.5251465,-0.13716125,20:53.8,1.49652E+12,0.012786865,7.17E-04,0.005157471,-36.88719646,-15.138245,12.2291565,-10.849762,3.997719223,71.24754719
11,-0.9950104,9.552277,-0.16445923,20:53.8,1.49652E+12,0.009597778,-0.011001587,-0.002288818,-40.13118561,-15.053368,12.2291565,-10.849953,6.834890219,74.22150309
12,-0.9784088,9.486237,-0.16497803,20:53.9,1.49652E+12,-0.002120972,-0.00567627,-0.000167847,-40.16046458,-15.138435,12.491035,-10.416222,6.86116861,74.24719707
13,-1.0039063,9.505447,-0.14833069,20:53.9,1.49652E+12,0.002136231,-0.011001587,0.006225586,-43.8645672,-15.393257,12.578392,-10.329437,10.42781318,77.43970956
14,-0.98295593,9.51947,-0.15950012,20:54.0,1.49652E+12,0.005325317,-0.011001587,-0.006561279,-43.8645672,-15.138245,12.840462,-10.502815,10.42781318,77.43970956
15,-1.0045929,9.55777,-0.14389038,20:54.0,1.49652E+12,-0.006393433,-0.018447876,0.003036499,-44.17584669,-15.138245,12.40406,-10.849571,10.68883648,77.68318606
