,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Datetime_unix,Gyroscope X,Gyroscope Y,Gyroscope Z,Heading,Mag X,Mag Y,Mag Z,Pitch,Roll
0,-0.31132507,9.404541,1.5245667,2017-06-03 16:31:26.869000,1496518286869,-0.007461548,0.020965576,0.009429932,-12.5976799806,-13.015747,16.015434,-5.6692123,-2.54011569376,29.1327404756
1,-0.37156677,9.397858,1.5425873,2017-06-03 16:31:26.924000,1496518286924,0.008529663,0.015640259,0.006225586,-14.6568181464,-12.930679,15.753365,-5.8425903,-1.86988389986,32.6079256237
2,-0.2953186,9.462006,1.6176453,2017-06-03 16:31:26.976000,1496518286976,-0.0010681152,0.03161621,0.003036499,-15.9591786,-13.185692,16.277313,-5.6690216,-1.33791639507,34.784825261
3,-0.3414154,9.418945,1.601532,2017-06-03 16:31:27.028000,1496518287028,-0.0021209717,0.024154663,-0.0033569336,-17.5468593967,-13.015556,15.928268,-5.928993,-0.628289632562,37.4003512909
4,-0.32463074,9.450333,1.5645294,2017-06-03 16:31:27.080000,1496518287080,0.004257202,0.026290894,0.00090026855,-19.0560437086,-13.355637,15.928459,-5.928993,0.135684075347,39.8917627248
5,-0.35006714,9.382248,1.5543518,2017-06-03 16:31:27.131000,1496518287131,-0.0053253174,-0.008865356,0.003036499,-20.536252149,-13.185692,15.666389,-6.102562,0.949163714504,42.3009123939
6,-0.30593872,9.404541,1.5899658,2017-06-03 16:31:27.183000,1496518287183,0.009597778,7.171631E-4,0.010498047,-22.0511286033,-13.27076,15.491676,-6.3627243,1.8115197971,44.7214017691
7,-0.34065247,9.404541,1.5446167,2017-06-03 16:31:27.235000,1496518287235,0.004257202,-0.014190674,-0.004425049,-23.5434777107,-13.440704,15.229607,-6.2761307,2.75837346535,47.1054242525
8,-0.34318542,9.385391,1.589508,2017-06-03 16:31:27.286000,1496518287286,0.0021362305,0.0060424805,0.003036499,-25.1675643846,-13.185692,15.142059,-6.8832397,3.78531431115,49.6020420286
9,-0.2894745,9.404541,1.5511932,2017-06-03 16:31:27.338000,1496518287338,0.0234375,0.0028533936,0.010498047,-26.2435697452,-13.015747,15.403938,-6.536484,4.54375276167,51.2930951221
