,Acceloremeter X,Acceloremeter Y,Acceloremeter Z,Datetime,Gyroscope X,Gyroscope Y,Gyroscope Z,Mag X,Mag Y,Mag Z
0,-2.2010956,0.8045807,9.614273,1495769561913,-0.0026397705,0.002319336,-0.0019989014,2.760315,20.679665,2.768898
1,-2.2016907,0.85905457,9.595718,1495769562014,0.0090789795,0.006576538,0.003326416,2.760315,20.243263,3.1154633
2,-2.213211,0.8122101,9.576569,1495769562116,0.003753662,-0.0019378662,-0.0062713623,3.27034,20.679665,2.942276
3,-2.4071655,0.29089355,11.157608,1495769562219,-0.26150513,0.6681061,0.08428955,3.0153275,20.679474,2.5091171
4,-1.6875458,0.84617615,9.101318,1495769562321,-0.23699951,0.66171265,0.72024536,3.440094,20.330238,2.682495
5,4.6863403,4.706299,7.9337616,1495769562424,-0.17628479,-0.13616943,0.5647125,3.9497375,20.330048,3.376007
6,-2.6615295,1.0311127,9.068695,1495769562526,-0.11022949,-0.71780396,0.17269897,4.7992706,20.068169,3.376007
7,0.07937622,2.2225342,9.8589325,1495769562628,0.37446594,0.5818176,-0.35992432,5.6488037,20.679474,3.2894135
8,-2.9941711,0.16142273,9.440552,1495769562744,0.12519836,-0.2128601,0.81292725,5.308914,21.116066,3.4626007
9,-2.9651794,0.60858154,10.019775,1495769562863,-0.034591675,-0.054138184,1.2207031E-4,4.8841476,20.941353,5.023384
10,-2.156021,0.8738251,9.365875,1495769562965,0.019729614,-0.03390503,-0.01159668,4.2045593,21.0289,5.7172775
